formula,reagent,detection,instrument,phase,environment,setting,biome,reference,doi,note
C4H8O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 27 条 | 原文离子式: C4H8IO3-，原文 m/z 230.952 Th（[M+I]-，算得 230.952，Δ 0.4 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C3H6O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 28 条 | 原文离子式: C3H6IO4-，原文 m/z 232.932 Th（[M+I]-，算得 232.932，Δ 0.4 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C4H10O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 29 条 | 原文离子式: C4H10IO3-，原文 m/z 232.968 Th（[M+I]-，算得 232.968，Δ 0.0 mDa） | DBE 0，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C3H5ClO2,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 31 条 | 原文离子式: C3H5ClIO2-，原文 m/z 234.903 Th（[M+I]-，算得 234.903，Δ 0.2 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
CH3NO5,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 32 条 | 原文离子式: CH3NIO5-，原文 m/z 235.906 Th（[M+I]-，算得 235.906，Δ 0.1 mDa） | DBE 0，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C4H2O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 33 条 | 原文离子式: C4H2IO4-，原文 m/z 240.9 Th（[M+I]-，算得 240.900，Δ 0.3 mDa） | DBE 4，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H6O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 34 条 | 原文离子式: C5H6IO3-，原文 m/z 240.937 Th（[M+I]-，算得 240.937，Δ 0.3 mDa） | DBE 3，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C6H10O2,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 35 条 | 原文离子式: C6H10IO2-，原文 m/z 240.973 Th（[M+I]-，算得 240.973，Δ 0.1 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C7H14O,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 36 条 | 原文离子式: C7H14IO-，原文 m/z 241.009 Th（[M+I]-，算得 241.009，Δ 0.5 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C4H4O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 37 条 | 原文离子式: C4H4IO4-，原文 m/z 242.916 Th（[M+I]-，算得 242.916，Δ 0.0 mDa） | DBE 3，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H8O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 38 条 | 原文离子式: C5H8IO3-，原文 m/z 242.952 Th（[M+I]-，算得 242.952，Δ 0.4 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C6H12O2,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 39 条 | 原文离子式: C6H12IO2-，原文 m/z 242.989 Th（[M+I]-，算得 242.989，Δ 0.2 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C4H6O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 41 条 | 原文离子式: C4H6IO4-，原文 m/z 244.932 Th（[M+I]-，算得 244.932，Δ 0.4 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H10O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 42 条 | 原文离子式: C5H10IO3-，原文 m/z 244.968 Th（[M+I]-，算得 244.968，Δ 0.0 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C6H14O2,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 43 条 | 原文离子式: C6H14IO2-，原文 m/z 245.004 Th（[M+I]-，算得 245.004，Δ 0.4 mDa） | DBE 0，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C3H5NO4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 44 条 | 原文离子式: C3H5NIO4-，原文 m/z 245.927 Th（[M+I]-，算得 245.927，Δ 0.1 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C3H4O5,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 45 条 | 原文离子式: C3H4IO5-，原文 m/z 246.911 Th（[M+I]-，算得 246.911，Δ 0.1 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C4H8O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 46 条 | 原文离子式: C4H8IO4-，原文 m/z 246.947 Th（[M+I]-，算得 246.947，Δ 0.3 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H12O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 47 条 | 原文离子式: C5H12IO3-，原文 m/z 246.984 Th（[M+I]-，算得 246.984，Δ 0.3 mDa） | DBE 0，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C2H3NO5,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 49 条 | 原文离子式: C2H3NIO5-，原文 m/z 247.906 Th（[M+I]-，算得 247.906，Δ 0.1 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C3H3ClO3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 50 条 | 原文离子式: C3H3ClIO3-，原文 m/z 248.882 Th（[M+I]-，算得 248.882，Δ 0.1 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C6H2O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 51 条 | 原文离子式: C6H2IO3-，原文 m/z 248.905 Th（[M+I]-，算得 248.905，Δ 0.4 mDa） | DBE 6，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C3H6O5,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 52 条 | 原文离子式: C3H6IO5-，原文 m/z 248.927 Th（[M+I]-，算得 248.927，Δ 0.5 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C2H4O6,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 53 条 | 原文离子式: C2H4IO6-，原文 m/z 250.906 Th（[M+I]-，算得 250.906，Δ 0.2 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H2O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 54 条 | 原文离子式: C5H2IO4-，原文 m/z 252.9 Th（[M+I]-，算得 252.900，Δ 0.3 mDa） | DBE 5，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C2H2Cl2O2,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 55 条 | 原文离子式: C2H2Cl2IO2-，原文 m/z 254.848 Th（[M+I]-，算得 254.848，Δ 0.2 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H4O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 56 条 | 原文离子式: C5H4IO4-，原文 m/z 254.916 Th（[M+I]-，算得 254.916，Δ 0.0 mDa） | DBE 4，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C6H8O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 57 条 | 原文离子式: C6H8IO3-，原文 m/z 254.952 Th（[M+I]-，算得 254.952，Δ 0.4 mDa） | DBE 3，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H6O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 58 条 | 原文离子式: C5H6IO4-，原文 m/z 256.932 Th（[M+I]-，算得 256.932，Δ 0.4 mDa） | DBE 3，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C6H10O3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 59 条 | 原文离子式: C6H10IO3-，原文 m/z 256.968 Th（[M+I]-，算得 256.968，Δ 0.0 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H9NO3,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 60 条 | 原文离子式: C5H9NIO3-，原文 m/z 257.963 Th（[M+I]-，算得 257.963，Δ 0.3 mDa） | DBE 1，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H5ClO2,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 61 条 | 原文离子式: C5H5ClIO2-，原文 m/z 258.903 Th（[M+I]-，算得 258.903，Δ 0.2 mDa） | DBE 3，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
C5H8O4,I-,adduct,FIGAERO-I-CIMS (HR-ToF-CIMS),gas/particle,chamber; UT Austin environmental chamber; alpha-pinene + Cl2/UV with NO (alpha-pinene+Cl+NO system),chamber,,"Masoud and Ruiz, 2021, ACS Earth Space Chem.",10.1021/acsearthspacechem.1c00150,"alpha-蒎烯 + Cl + NO 体系拟合峰表第 62 条 | 原文离子式: C5H8IO4-，原文 m/z 258.947 Th（[M+I]-，算得 258.947，Δ 0.3 mDa） | DBE 2，整数 ⇒ 闭壳层 | 第 0 步依据：SI Table S1 表头明写 ""m/z (**I- included**)"" + ""Elemental formula""，即列出的是**离子式**（含碘）。中性式 = 离子式 − I（团簇加合）；不含 I 的离子按 [M-H]- 还原（中性 = 离子 + H）。645 行全部用给出的三位小数 m/z 独立验算通过（校验 A） | source: SI Table S1"
